"Select(selcol)
勾選","Return ID(breturnflag)
退貨單號","Business type(cbustype)
業務類型","Sales type(cstname)
銷售類型","Delivery Note No(cdlcode)
送貨單號","Shipment date(ddate)
送貨日期","Currency(cexch_name)
幣別","Exchange rate(iexchrate)
匯率","Customer name(ccusname)
客戶全名","Ship-to Address(cshipaddress)
收貨地址","Contact tel(ccusphone)
公司電話","Contact(ccusperson)
聯繫人（訂購人）","Sales department(cdepname)
銷售部門","Clerk(cpersonname)
業務員","Payment Terms(cpayname)
支付方式","Prepared by(cmaker)
建單人","Approved by(cverifier)
審核人","Table body order No(bodysocode)
銷售訂單號","Warehouse(cwhname)
倉庫名稱","Inventory Code(cinvcode)
存貨編號","Stock Code(cinvaddcode)
 產品附加編碼","Inventory name(cinvname)
存貨名稱","Specification(cinvstd)
存貨規格","Qty(iquantity)
送貨數量","Quotation(iquotedprice)
標準單價","Unit Price Incl Tax(itaxunitprice)
含稅單價","Unit Price Excl Tax(iunitprice)
未稅單價","Amount tax exclusive(imoney)
 未稅總金額","Tax(itax)
稅金","Total Amt(isum)
 含稅總金額","Tax rate (%)(bodytaxrate)
稅率","Discount rate (%)(kl)
折扣率（%）
","Discount rate 2 (%)(kl2)
折扣百分比","Discount amount(idiscount)
折扣金額","Memo(cmemo)
從大發分公司ERP 系統下載的訂單","DefineItem1(cdefine1)
收件人+手機號
（目前用友系統，key 單時, 沒有獨立的收件人手機號欄位。","Voucher headUser-defined item2(cdefine2)
客戶編號（自定義欄位2）","Voucher headUser-defined item3(cdefine3)
是否開立發票 （自定義欄位3）","Voucher headUser-defined item4(cdefine4)
自定義欄位4","Voucher headUser-defined item9(cdefine9)
識別號（用於區分這個訂單是由哪個業務單位負責）","So Hoa Don(cdefine13)
客戶發票名稱","Export Times(ioutgolden)
 出貨次數","Qty not issued(WCSL)
未出庫數量","Un-billed Quantity(WKSL)
 未開票數量","Un-billed Amount(WKJE)
未開票金額","Un-Received Amount(WSKYB)
未收款金額","Un-Received Amount In Local Currency(WSKBB)
未收款金額（本幣）","Customer's Privilege Code Of Classfiction(caccode)
客戶優惠分類代碼","Customer's Privilege Of Classfiction(cacname)
客戶優惠分類名稱"
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502030,M902,L? H?p Ho?ng Tri?u 902,2 h?p/th?ng,8,832800,832800,771111.11,6168888.89,493511.11,6662400,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,8,8,6662400,6662400,6662400,,
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502032,M999,L? H?p Cung ??nh 999,6 h?p/th?ng,3,1188000,1188000,1100000,3300000,264000,3564000,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,3,3,3564000,3564000,3564000,,
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502018,M501,L? H?p Trung Thu Tuy?t 501,4 h?p/th?ng,10,298800,298800,276666.67,2766666.67,221333.33,2988000,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,2988000,2988000,2988000,,
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502182,M803,L? H?p Ho?ng Kim 803,2 h?p/ th?ng,10,879600,879600,814444.44,8144444.44,651555.56,8796000,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,8796000,8796000,8796000,,
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502183,M804,L? h?p Ho?ng Kim 804  - NEW,2 h?p/ th?ng,10,852000,852000,788888.89,7888888.89,631111.11,8520000,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,8520000,8520000,8520000,,
,No,General sales,中秋節/Trung Thu,0000181252,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157737,Tp L? H?p Trung Thu,3502018,M501,L? H?p Trung Thu Tuy?t 501,4 h?p/th?ng,5,298800,298800,276666.67,1383333.33,110666.67,1494000,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-2,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,1494000,1494000,1494000,,
,No,General sales,中秋節/Trung Thu,0000181253,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157741,Tp L? H?p Trung Thu,3502025,M802,L? H?p Ho?ng Kim 802,2 h?p/ th?ng,13,671400,671400,621666.67,8081666.67,646533.33,8728200,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-6,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,13,8728200,8728200,8728200,,
,No,General sales,中秋節/Trung Thu,0000181253,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157741,Tp L? H?p Trung Thu,3502030,M902,L? H?p Ho?ng Tri?u 902,2 h?p/th?ng,8,832800,832800,771111.11,6168888.89,493511.11,6662400,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-6,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,8,6662400,6662400,6662400,,
,No,General sales,中秋節/Trung Thu,0000181253,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157741,Tp L? H?p Trung Thu,3502032,M999,L? H?p Cung ??nh 999,6 h?p/th?ng,4,1188000,1188000,1100000,4400000,352000,4752000,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-6,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,4,4752000,4752000,4752000,,
,No,General sales,中秋節/Trung Thu,0000181253,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157741,Tp L? H?p Trung Thu,3502182,M803,L? H?p Ho?ng Kim 803,2 h?p/ th?ng,8,879600,879600,814444.45,6515555.56,521244.44,7036800,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-6,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,8,7036800,7036800,7036800,,
,No,General sales,中秋節/Trung Thu,0000181253,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,A.NH?N,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157741,Tp L? H?p Trung Thu,3502183,M804,L? h?p Ho?ng Kim 804  - NEW,2 h?p/ th?ng,4,852000,852000,788888.89,3155555.56,252444.44,3408000,8,100,100,0,??n h?ng t? CNDP,A.NH?N,3700341674-001,C? Ho? ??n,2025/7/24,NT001-6,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,4,3408000,3408000,3408000,,
,No,General sales,中秋節/Trung Thu,0000181254,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,NHAN,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157749,Kho Bao Bi?,0503148,M101,Bao B? - L? H?p Ti?u Chu?n 101,20 h?p/th?ng,20,0.1,0,0,0,0,0,8,0,100,2,??n h?ng t? CNDP,NHAN,3700341674-001,C? Ho? ??n,2025/7/24,NT005,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,20,20,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181254,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,NHAN,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157749,Kho Bao Bi?,0503149,M102,Bao B? - L? H?p Ti?u Chu?n 102,20 h?p/th?ng,40,0.01,0,0,0,0,0,8,0,100,0.4,??n h?ng t? CNDP,NHAN,3700341674-001,C? Ho? ??n,2025/7/24,NT005,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,40,40,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181254,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,NHAN,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157749,Kho Bao Bi?,0503154,M201,Bao B? - L? H?p H?o H?ng 201,8 h?p/th?ng,32,0.01,0,0,0,0,0,8,0,100,0.32,??n h?ng t? CNDP,NHAN,3700341674-001,C? Ho? ??n,2025/7/24,NT005,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,32,32,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181254,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,NHAN,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157749,Kho Bao Bi?,0503157,M301,Bao B? - L? H?p ??c Bi?t 301,10 h?p/th?ng,30,0.01,0,0,0,0,0,8,0,100,0.3,??n h?ng t? CNDP,NHAN,3700341674-001,C? Ho? ??n,2025/7/24,NT005,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,30,30,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181254,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,CH 575 Nguy?n tr?i,02838634833-35,NHAN,CH Nguy?n Tr?i,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157749,Kho Bao Bi?,0503158,M302,Bao B? - L? H?p ??c Bi?t 302,10 h?p/th?ng,10,0.01,0,0,0,0,0,8,0,100,0.1,??n h?ng t? CNDP,NHAN,3700341674-001,C? Ho? ??n,2025/7/24,NT005,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,10,10,0,0,0,,
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502025,M802,L? H?p Ho?ng Kim 802,2 h?p/ th?ng,5,671400,671400,621666.67,3108333.33,248666.67,3357000,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,5,5,3357000,3357000,3357000,,
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502030,M902,L? H?p Ho?ng Tri?u 902,2 h?p/th?ng,2,832800,832800,771111.11,1542222.22,123377.78,1665600,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,2,2,1665600,1665600,1665600,,
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502032,M999,L? H?p Cung ??nh 999,6 h?p/th?ng,2,1188000,1188000,1100000,2200000,176000,2376000,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,2,2,2376000,2376000,2376000,,
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502018,M501,L? H?p Trung Thu Tuy?t 501,4 h?p/th?ng,2,298800,298800,276666.67,553333.33,44266.67,597600,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,2,2,597600,597600,597600,,
,No,General sales,中秋節/Trung Thu,0000181255,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 Su Van Hanh phuong Hoa Hung TPHCM,02838634833-35,Y?N,CH Landmark81,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157763,Tp L? H?p Trung Thu,3502182,M803,L? H?p Ho?ng Kim 803,2 h?p/ th?ng,2,879600,879600,814444.45,1628888.89,130311.11,1759200,8,100,100,0,??n h?ng t? CNDP,TI?N,3700341674-001,C? Ho? ??n,2025/7/24,LM-012,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,2,2,1759200,1759200,1759200,,
